{'yaw': 162.9057, 'pitch': 13.36928, 'roll': 2.659235, 'Ax': -2312, 'Ay': 1854, 'Az': 726, 'timestamps': 1542885179.0916414}
{'yaw': 163.9681, 'pitch': 15.51238, 'roll': 2.80768, 'Ax': -2262, 'Ay': 1951, 'Az': 1652, 'timestamps': 1542885179.0967808}
{'yaw': 165.0006, 'pitch': 17.6482, 'roll': 3.023492, 'Ax': -2161, 'Ay': 1051, 'Az': 3388, 'timestamps': 1542885179.1014612}
{'yaw': 165.8829, 'pitch': 19.80459, 'roll': 2.982403, 'Ax': -1915, 'Ay': -1, 'Az': 5230, 'timestamps': 1542885179.1015692}
{'yaw': 166.5883, 'pitch': 22.02114, 'roll': 2.671923, 'Ax': -1762, 'Ay': -360, 'Az': 6645, 'timestamps': 1542885179.1094432}
{'yaw': 167.0268, 'pitch': 24.12114, 'roll': 2.334937, 'Ax': -2203, 'Ay': 199, 'Az': 7905, 'timestamps': 1542885179.1174405}
{'yaw': 167.1747, 'pitch': 25.88167, 'roll': 2.311987, 'Ax': -2699, 'Ay': 1131, 'Az': 8985, 'timestamps': 1542885179.1328528}
{'yaw': 167.1522, 'pitch': 27.295, 'roll': 2.66234, 'Ax': -2771, 'Ay': 1638, 'Az': 9766, 'timestamps': 1542885179.1441824}
{'yaw': 166.8979, 'pitch': 28.42351, 'roll': 3.214782, 'Ax': -2529, 'Ay': 1696, 'Az': 10277, 'timestamps': 1542885179.1505945}
{'yaw': 166.4503, 'pitch': 29.30644, 'roll': 3.807501, 'Ax': -1919, 'Ay': 1315, 'Az': 10515, 'timestamps': 1542885179.1552005}
{'yaw': 165.9149, 'pitch': 29.98187, 'roll': 4.352046, 'Ax': -1099, 'Ay': 700, 'Az': 10556, 'timestamps': 1542885179.1757953}
{'yaw': 165.436, 'pitch': 30.38316, 'roll': 4.883967, 'Ax': -386, 'Ay': 78, 'Az': 10565, 'timestamps': 1542885179.183005}
{'yaw': 165.0736, 'pitch': 30.46887, 'roll': 5.391838, 'Ax': 230, 'Ay': -490, 'Az': 10537, 'timestamps': 1542885179.1979072}
{'yaw': 164.7635, 'pitch': 30.29072, 'roll': 5.819946, 'Ax': 811, 'Ay': -953, 'Az': 10428, 'timestamps': 1542885179.2051432}
{'yaw': 164.4641, 'pitch': 29.92447, 'roll': 6.137593, 'Ax': 1351, 'Ay': -1357, 'Az': 10270, 'timestamps': 1542885179.211925}
{'yaw': 164.1665, 'pitch': 29.37705, 'roll': 6.360621, 'Ax': 1781, 'Ay': -1577, 'Az': 10094, 'timestamps': 1542885179.2156131}
{'yaw': 163.9193, 'pitch': 28.6314, 'roll': 6.530194, 'Ax': 2039, 'Ay': -1738, 'Az': 9963, 'timestamps': 1542885179.2332249}
{'yaw': 163.7514, 'pitch': 27.72504, 'roll': 6.607099, 'Ax': 2196, 'Ay': -1971, 'Az': 9874, 'timestamps': 1542885179.2418544}
{'yaw': 163.6618, 'pitch': 26.71144, 'roll': 6.553022, 'Ax': 2263, 'Ay': -2177, 'Az': 9797, 'timestamps': 1542885179.2482922}
{'yaw': 163.6293, 'pitch': 25.61605, 'roll': 6.334765, 'Ax': 2074, 'Ay': -2185, 'Az': 9771, 'timestamps': 1542885179.2582932}
{'yaw': 163.607, 'pitch': 24.45419, 'roll': 6.001789, 'Ax': 1671, 'Ay': -1922, 'Az': 9752, 'timestamps': 1542885179.2754958}
{'yaw': 163.5678, 'pitch': 23.18719, 'roll': 5.625535, 'Ax': 1120, 'Ay': -1499, 'Az': 9736, 'timestamps': 1542885179.2825327}
{'yaw': 163.4959, 'pitch': 21.80639, 'roll': 5.307652, 'Ax': 505, 'Ay': -904, 'Az': 9687, 'timestamps': 1542885179.2907164}
{'yaw': 163.4312, 'pitch': 20.31327, 'roll': 5.132668, 'Ax': -157, 'Ay': -383, 'Az': 9574, 'timestamps': 1542885179.2958016}
{'yaw': 163.3723, 'pitch': 18.71459, 'roll': 5.096755, 'Ax': -836, 'Ay': 13, 'Az': 9266, 'timestamps': 1542885179.3065786}
{'yaw': 163.2756, 'pitch': 17.05034, 'roll': 5.179521, 'Ax': -1524, 'Ay': 307, 'Az': 8810, 'timestamps': 1542885179.3191738}
{'yaw': 163.1881, 'pitch': 15.32541, 'roll': 5.341292, 'Ax': -2180, 'Ay': 401, 'Az': 8319, 'timestamps': 1542885179.334482}
{'yaw': 163.1313, 'pitch': 13.55018, 'roll': 5.531497, 'Ax': -2699, 'Ay': 333, 'Az': 7786, 'timestamps': 1542885179.3446877}
{'yaw': 163.084, 'pitch': 11.75799, 'roll': 5.742598, 'Ax': -3028, 'Ay': 354, 'Az': 7109, 'timestamps': 1542885179.3784754}
{'yaw': 163.038, 'pitch': 10.01507, 'roll': 5.993778, 'Ax': -3123, 'Ay': 441, 'Az': 6306, 'timestamps': 1542885179.385959}
{'yaw': 162.9844, 'pitch': 8.390739, 'roll': 6.267308, 'Ax': -2986, 'Ay': 519, 'Az': 5531, 'timestamps': 1542885179.3888874}
{'yaw': 162.9833, 'pitch': 6.921164, 'roll': 6.609319, 'Ax': -2749, 'Ay': 528, 'Az': 4807, 'timestamps': 1542885179.388982}
{'yaw': 163.0885, 'pitch': 5.545644, 'roll': 6.962079, 'Ax': -2711, 'Ay': 304, 'Az': 4328, 'timestamps': 1542885179.392851}
{'yaw': 163.2891, 'pitch': 4.259889, 'roll': 7.243705, 'Ax': -2753, 'Ay': 13, 'Az': 3936, 'timestamps': 1542885179.3974159}
