{'yaw': -5.230074, 'pitch': -4.395701, 'roll': 11.37178, 'Ax': -19, 'Ay': 212, 'Az': -5283, 'timestamps': 1542884653.005799}
{'yaw': -5.062366, 'pitch': -4.958433, 'roll': 11.01978, 'Ax': -213, 'Ay': 164, 'Az': -5205, 'timestamps': 1542884653.0408235}
{'yaw': -4.915618, 'pitch': -5.538607, 'roll': 10.6825, 'Ax': -454, 'Ay': 119, 'Az': -5121, 'timestamps': 1542884653.0502405}
{'yaw': -4.74965, 'pitch': -5.99032, 'roll': 10.32096, 'Ax': -611, 'Ay': 151, 'Az': -5217, 'timestamps': 1542884653.050349}
{'yaw': -4.537725, 'pitch': -6.123565, 'roll': 9.863245, 'Ax': -671, 'Ay': 259, 'Az': -5410, 'timestamps': 1542884653.0504146}
{'yaw': -4.276139, 'pitch': -6.0094, 'roll': 9.26028, 'Ax': -718, 'Ay': 331, 'Az': -5605, 'timestamps': 1542884653.0504732}
{'yaw': -4.003463, 'pitch': -5.710059, 'roll': 8.542072, 'Ax': -859, 'Ay': 360, 'Az': -5668, 'timestamps': 1542884653.0505397}
{'yaw': -3.728079, 'pitch': -5.339858, 'roll': 7.746184, 'Ax': -968, 'Ay': 287, 'Az': -5478, 'timestamps': 1542884653.0559614}
{'yaw': -3.443198, 'pitch': -4.945395, 'roll': 6.903411, 'Ax': -934, 'Ay': 112, 'Az': -5122, 'timestamps': 1542884653.0603287}
{'yaw': -3.125958, 'pitch': -4.548101, 'roll': 6.021431, 'Ax': -811, 'Ay': -78, 'Az': -4777, 'timestamps': 1542884653.1022565}
{'yaw': -2.771479, 'pitch': -4.237418, 'roll': 5.110068, 'Ax': -679, 'Ay': -302, 'Az': -4461, 'timestamps': 1542884653.1096628}
{'yaw': -2.412083, 'pitch': -4.086886, 'roll': 4.23491, 'Ax': -689, 'Ay': -618, 'Az': -3940, 'timestamps': 1542884653.1097586}
{'yaw': -2.030663, 'pitch': -4.041199, 'roll': 3.419431, 'Ax': -597, 'Ay': -903, 'Az': -3342, 'timestamps': 1542884653.109831}
{'yaw': -1.596737, 'pitch': -3.996666, 'roll': 2.659017, 'Ax': -361, 'Ay': -1069, 'Az': -2895, 'timestamps': 1542884653.1125557}
{'yaw': -1.157284, 'pitch': -3.778044, 'roll': 1.896868, 'Ax': -202, 'Ay': -1137, 'Az': -2474, 'timestamps': 1542884653.1226704}
{'yaw': -0.69387, 'pitch': -2.916917, 'roll': 1.082514, 'Ax': -19, 'Ay': -1157, 'Az': -2207, 'timestamps': 1542884653.1277936}
{'yaw': -0.193371, 'pitch': -1.363504, 'roll': 0.212196, 'Ax': 260, 'Ay': -1240, 'Az': -1926, 'timestamps': 1542884653.1731298}
{'yaw': 0.296938, 'pitch': 0.498455, 'roll': -0.740102, 'Ax': 580, 'Ay': -1383, 'Az': -1660, 'timestamps': 1542884653.1788383}
{'yaw': 0.809192, 'pitch': 2.467075, 'roll': -1.824241, 'Ax': 1005, 'Ay': -1525, 'Az': -1512, 'timestamps': 1542884653.1789422}
{'yaw': 1.252909, 'pitch': 4.001922, 'roll': -2.966229, 'Ax': 1107, 'Ay': -1691, 'Az': -1014, 'timestamps': 1542884653.1790078}
{'yaw': 1.648587, 'pitch': 4.918918, 'roll': -4.103668, 'Ax': 922, 'Ay': -1907, 'Az': -139, 'timestamps': 1542884653.1893017}
{'yaw': 1.985276, 'pitch': 5.327927, 'roll': -5.155435, 'Ax': 624, 'Ay': -1988, 'Az': 951, 'timestamps': 1542884653.1928992}
{'yaw': 2.25093, 'pitch': 5.331089, 'roll': -6.093536, 'Ax': 273, 'Ay': -1996, 'Az': 2109, 'timestamps': 1542884653.201971}
{'yaw': 2.480907, 'pitch': 5.187873, 'roll': -6.936064, 'Ax': 146, 'Ay': -1910, 'Az': 2944, 'timestamps': 1542884653.2468765}
{'yaw': 2.597517, 'pitch': 5.004282, 'roll': -7.707007, 'Ax': 0, 'Ay': -1820, 'Az': 3549, 'timestamps': 1542884653.251619}
{'yaw': 2.6557, 'pitch': 5.185624, 'roll': -8.464115, 'Ax': 145, 'Ay': -1743, 'Az': 4095, 'timestamps': 1542884653.2576802}
{'yaw': 2.700973, 'pitch': 5.899865, 'roll': -9.263083, 'Ax': 531, 'Ay': -1599, 'Az': 4417, 'timestamps': 1542884653.2578135}
{'yaw': 2.817027, 'pitch': 6.985341, 'roll': -10.15449, 'Ax': 1124, 'Ay': -1393, 'Az': 4629, 'timestamps': 1542884653.257882}
{'yaw': 3.002239, 'pitch': 8.136555, 'roll': -11.08555, 'Ax': 1630, 'Ay': -1173, 'Az': 4965, 'timestamps': 1542884653.2614882}
{'yaw': 3.103807, 'pitch': 9.082203, 'roll': -11.97228, 'Ax': 1467, 'Ay': -929, 'Az': 5516, 'timestamps': 1542884653.2703385}
{'yaw': 3.096047, 'pitch': 9.681566, 'roll': -12.77765, 'Ax': 765, 'Ay': -693, 'Az': 5927, 'timestamps': 1542884653.3151662}
{'yaw': 3.040342, 'pitch': 10.11332, 'roll': -13.5748, 'Ax': -5, 'Ay': -439, 'Az': 5993, 'timestamps': 1542884653.3378675}
{'yaw': 2.96344, 'pitch': 10.56517, 'roll': -14.42271, 'Ax': -611, 'Ay': -178, 'Az': 5949, 'timestamps': 1542884653.3454413}
{'yaw': 2.865711, 'pitch': 10.89991, 'roll': -15.22271, 'Ax': -996, 'Ay': 11, 'Az': 6321, 'timestamps': 1542884653.3455367}
{'yaw': 2.666104, 'pitch': 10.8849, 'roll': -15.86339, 'Ax': -986, 'Ay': 64, 'Az': 7040, 'timestamps': 1542884653.345601}
{'yaw': 2.471102, 'pitch': 10.72043, 'roll': -16.33765, 'Ax': -582, 'Ay': 135, 'Az': 7635, 'timestamps': 1542884653.34566}
{'yaw': 2.271222, 'pitch': 10.40584, 'roll': -16.70999, 'Ax': -127, 'Ay': 315, 'Az': 8060, 'timestamps': 1542884653.3457186}
{'yaw': 2.094984, 'pitch': 10.10939, 'roll': -17.01582, 'Ax': 249, 'Ay': 538, 'Az': 8343, 'timestamps': 1542884653.3524818}
{'yaw': 1.962348, 'pitch': 9.94816, 'roll': -17.27926, 'Ax': 374, 'Ay': 745, 'Az': 8500, 'timestamps': 1542884653.3600042}
{'yaw': 1.862611, 'pitch': 9.968991, 'roll': -17.5142, 'Ax': 171, 'Ay': 964, 'Az': 8451, 'timestamps': 1542884653.3789475}
{'yaw': 1.785558, 'pitch': 10.19626, 'roll': -17.71441, 'Ax': -192, 'Ay': 1203, 'Az': 8286, 'timestamps': 1542884653.383157}
{'yaw': 1.753425, 'pitch': 10.71457, 'roll': -17.89226, 'Ax': -520, 'Ay': 1444, 'Az': 8261, 'timestamps': 1542884653.3969061}
{'yaw': 1.747909, 'pitch': 11.42805, 'roll': -18.01104, 'Ax': -835, 'Ay': 1676, 'Az': 8258, 'timestamps': 1542884653.4047496}
{'yaw': 1.691573, 'pitch': 12.03622, 'roll': -18.00097, 'Ax': -944, 'Ay': 1842, 'Az': 8316, 'timestamps': 1542884653.411503}
{'yaw': 1.570072, 'pitch': 12.32302, 'roll': -17.80972, 'Ax': -848, 'Ay': 1893, 'Az': 8419, 'timestamps': 1542884653.4584684}
{'yaw': 1.378226, 'pitch': 12.30185, 'roll': -17.42946, 'Ax': -578, 'Ay': 1897, 'Az': 8536, 'timestamps': 1542884653.4685853}
{'yaw': 1.091137, 'pitch': 11.88702, 'roll': -16.84213, 'Ax': -249, 'Ay': 1859, 'Az': 8639, 'timestamps': 1542884653.4686785}
{'yaw': 0.779968, 'pitch': 11.26882, 'roll': -16.12205, 'Ax': 49, 'Ay': 1835, 'Az': 8682, 'timestamps': 1542884653.468742}
{'yaw': 0.497288, 'pitch': 10.73767, 'roll': -15.3501, 'Ax': 280, 'Ay': 1828, 'Az': 8676, 'timestamps': 1542884653.468804}
